Sr No.,State,NH-No.,Toll Plaza Name,Toll Plaza Location,Section / Stretch,TollPlazaID
230,Haryana,NH 709A,Bass,41.632 (Near village Bass),BhiwaniMundhalJind (Ch. 6.875 to Ch. 68.857),5896
231,Haryana,1,Bhagan,Km 53.600,Delhi Haryana Kundli Border to Panipat,4507
232,Haryana,NH 5 (Old 95),Bhago Majra,12.07,Kharar to Ludhiana,5644
233,Haryana,NH 152D,Bhalki,211.400,00.00 to 227.02km,6647
234,Haryana,NH 9,Bhavdeen,241.920 Km,Hisar Dabwali Pkg II,4566
235,Haryana,334B,Bisalwas,Km. 88.950,97.864,5903
236,Haryana,NH 152D,Buchawas,200.867,00.00 to 227.02km,6646
237,Haryana,NH 152D,Chandlana,21.450 and 21.762,00.00 to 227.02 km,6635
238,Haryana,52 (Old 65),Chaudhrywas,135.900,Kaithal to Haryana Rajasthan Border,4504
239,Haryana,54,Chautala,60.300,27.400 to 62.200,6826
240,Haryana,334 B,Chhara,67.900 Km,Rohna Hassangarh to jhajjar section from km 44.80 to 80.250,5679
241,Haryana,54,Dabwali,30.400,27.400 to 62.200,6822
242,Haryana,NH 152D,Dadri,166.200,00.00 to 227.02km,6645
243,Haryana,71A,Dahar,Km 73.450,Rohtak - Panipat,291
244,Haryana,71,Dighal,Km 370.420,Rohtak - Bawal,150
245,Haryana,71,Gangaycha Jatt,Km 430.000,Rohtak - Bawal,152
246,Haryana,44(Old NH 01),Ghaggar,Km 211.805,Panipat Jalandhar,156
247,Haryana,44(Old NH 01),Gharaunda (Karnal),Km 111.483,Panipat Jalandhar,155
248,Haryana,NE4,Ghata Shamsabad Toll Plaza,66.587,Delhi Vadodara Exoressway Pkg3 (Km. 47.000 to Km. 78.800),6654
249,Haryana,NH 5 (Old 95),Ghulal,60,Kharar to Ludhiana,5645
250,Haryana,NE4,Hilalpur Toll Plaza,12.930,Delhi Vadodara Exoressway Pkg1 (Km. 0.000 to Km. 18.461),6651
251,Haryana,NH 7 (OLD 73),Jaloli,158.579,Yamu00gar to Panchkula,5643
252,Haryana,NH 152D,Jat Guwana,221.832,00.00 to 227.02km,6648
253,Haryana,NH 334B,Jharothi,jharothi,UPHarya0 Border to Roha0 Pkg1,5894
254,Haryana,NH 54,Jogewala,27.700 and 28.120,27.400 to 62.200,6821
255,Haryana,NE4,Kalinger Toll Plaza,35.500,Delhi Vadodara Exoressway Pkg2 (Km. 18.500 to Km. 47.000),6653
256,Haryana,NE4,Khalilpur Toll Plaza,19.803,Delhi Vadodara Exoressway Pkg2 (Km. 18.500 to Km. 47.000),6652
257,Haryana,NH 152D,Kharkhra,129.432,00.00 to 227.02km,6642
258,Haryana,Old No.71 (New NH 52352),Khatkar,km. 286.125 (Near Village Khatkar),Punjab Border to Jind Section from km. 239.695 to km. 307.000,5744
259,Haryana,NH 152D,Kherari,141.045,00.00 to 227.02km,6644
260,Haryana,NH 152D,Kheri Sharaf Ali,57.831 km,00.00 to 227.02km,6637
261,Haryana,NH 152D,Kilazafargarh,110.181 km,00.00 to 227.02km,6640
262,Haryana,NH 148B,Kitlana,Km 94.600 to Km 125.920,Raj.Hr. Border to Bhiwani to Hansi to Punjab Border,5654
263,Haryana,9 (Old 10),Landhari,184.035,Hisar to Dabwali,4501
264,Haryana,352A,Ludana,CH. 23.922,50.505,5886
265,Haryana,10,Madina Korsan,Km 99.835,Rohtak Hisar (Km 87.00 to Km 170.00),468
266,Haryana,71A,Makrauli Kalan,Km 14.600,Rohtak - Panipat,292
267,Haryana,NH 152 D,Mohna,32.464 km,00.00 to 227.02 km,6636
268,Haryana,334B,Morwala,Km. 32.460,97.864,5902
269,Haryana,52 (Old 65),Narwana,36.776,Kaithal to Haryana Rajasthan Border,4502
270,Haryana,NH 152D,Pabnawa,16.400,00.00 to 227.02km,6634
271,Haryana,44(Old NH 01),Panipat Elevated,Km 95,Panipat Elevated Highway (Km 86.000 to Km 96.000),154
272,Haryana,709A,Peont,128.8,2lane with paved shoulder for JindKar0l section of NH709A,5709
273,Haryana,NE 4,Pinan Toll Plaza,129.017,Delhi Vadodara Exoressway Pkg5 (Km. 115.700 to Km. 151.840),6658
274,Haryana,10,Ramayana (Mayar),Km 161.500,Rohtak - Hisar (Km 87.00 to Km 170.00),469
275,Haryana,10,Rohad,Km 52.460,Delhi-Haryan -Rohtak- Hisar,455
276,Haryana,152(old NH65),Saini Majra,At Km 28.160,Ambala to Pehowa,5746
277,Haryana,NE 4,Sheetal Toll Plaza,102.000,Delhi Vadodara Exoressway Pkg4 (Km. 78.800 to Km. 115.700),6657
278,Haryana,54,Shergarh,40.600,27.400 to 62.200,6824
279,Haryana,152(old NH65),Thana,At Km 68.680 design chainage (existing chainage at km. 64.000),Pehowa to Kaithal,5747
280,Himachal Pradesh,NH2 1 (Now 205 and NH 154),Baloh Fee Plaza,Baloh Bilaspur,Kiratpur Ner Chowk,6701
281,Himachal Pradesh,3,Dolhu Nallah (Raison),Km. 285.600,Kullu Ma0li,5920
282,Himachal Pradesh,NH 154 and NH 205,Moura Toll Plaza,KM. 81.620,KIRATPURNERCHONK,6700
283,Himachal Pradesh,5,Sanwara,Km 80.722,Parwanoo Solan,5745
284,Himachal Pradesh,NH3,Takoli Toll Plaza,203.921,PandohTakoliKullu (178795205188),6585
285,Jammu and Kashmir,44,Bann,Km 22.400,Jammu Bypass - Udhampur (Km 15.000 to Km 67.000),190
286,Jammu and Kashmir,244 A,Dondpur,Dondpur,SEMI RING ROAD FROM RAYA MORH TO JAGTI,6846
287,Jammu and Kashmir,44,Kaichachkoot,KM 258.564 (NH44),Srinagar Banhilal Banhilal Bypass,5787
288,Jammu and Kashmir,1 A,Lakhanpur Rajbagh,Km 16.350,Jammu - Pathankot,141
289,Jammu and Kashmir,44,Lamber,Km. 193.760,Banihal (km 189.350) to Quazigund (220.700),5771
290,Jammu and Kashmir,1A,Mada,Km 90.176,Chenani Nashri section of NH44 (New alignment) from Chenani Rotary to Nashri Rotary including 9 km long tunnel,492
291,Jammu and Kashmir,NH 44,Nashri,99.800,Chenani Nashri section of NH44 (New alignment) from Chenani Rotary to Nashri Rotary including 9 km long tunnel,493
292,Jammu and Kashmir,44,Ujroo,Km. 204.563,Banihal (km 189.350) to Quazigund (220.700),5772
293,Jharkhand,33,Edalhatu,162.750 Km.,Existing from km. 140.000 to km. 217.300 (Ranchi Rargaon section),5796
294,Jharkhand,19,Ghanghri (Kulgo ),Km 346.100,Gorhar - Barwa Adda (Km 320.00 - Km 398.750),226
295,Jharkhand,NH 33,Hazaribag,at km 30.400,Barhi Hazaribagh Section from km 0.000 to km 40.500,5742
296,Jharkhand,75,Hesmi (Mandar),Hesmi,Ranchi Piska More Bijuparakuru section from design chai0ge km 3.600 to km. 55.00 of NH75 in the state of Jharkhand,5870
297,Jharkhand,75 (New NH 39),Kauwakhoh (Hariharnath)Toll Plaza,32.750,Four laning between Km 23.284 (Hariharganj) to Km 57.000 (Near Parwa More) on NH98 on Hybrid Annuity Mode in the state of Bihar Jharkhand.,6793
298,Jharkhand,NH18 and NH49,Kokpara,KOKPARA,MAHULIYA BAHARAGORA,5741
299,Jharkhand,NH 133,Kothiya,Km. 109.880,Km.94.000 To km.131.000,5751
300,Jharkhand,NH33,Nagwan Toll Plaza,AT Km 30.400 of BarhiHazaribagh section,From Km 0000 TO Km 41279,6650
301,Jharkhand,114A,Navasari,at Km. 232.385,User fee collection at Toll Plaza 0vasari (Km 232.385) near village 0vasari in Dist. Giridih for the stretch from Km. 216 to Km. 244.482 of NH114A in the state of Jharkhand,5756
302,Jharkhand,NH33,Pata,Pata Chandil Jharkhand,Four Laning of RanchiMahulia Section of NH 33 (from Km. 217.300 to km. 233.350 (16.05 km length) in the State of Jharkhand under NHDP PhaseIII on EPC mode (Item Rate) (PackageIII),6761
303,Jharkhand,23,Patrachauli Toll Plaza,Patrachauli,4L of Piska More (Km. 2.90) to Palma (Km. 26.00) of NH 23,6742
304,Jharkhand,33,Pundag,Km 98.930,Hazaribagh - Ranchi (Km 40.500 - Km 114.000),178
305,Jharkhand,NH 32,Pupunki,Pupunki,Rajganj Chas West Bengal Border,6590
306,Jharkhand,18,Putru,Putru,Four Laning of JamshedpurMahulia Section of NH 33 (from Km.233.350 to km. 277.568) in the State of Jharkhand under NHDP PhaseIII on EPC mode(item rate) (PackageIV).,6649
307,Jharkhand,19,Rasoiya Dhamna,Km 279.425,Barachetti - Gorhar (Km 240.00 - Km 320.00),225
308,Jharkhand,23,Sosokhurd,Km 53.740,Chas Ramgarh Section,4508
309,Jharkhand,23,Tand Balidih,Km 16.770,Chas Ramgarh Section,4509
310,Jharkhand,33,Turup Toll Plaza,Turup,Balance work of RanchiMahulia Section of NH33 from Km 113.730 (Vikas) to Km 140.000 (Rampur) (PkgI),6857
311,Karnataka,44,Attibele (BETPL),Km 32.700,Silk Board Junction Attibele,312
312,Karnataka,7,Bagepalli,Km 464.774,AP/ Karnataka Border - Devanhalli (Km 462.164 to Km 533.619),187
313,Karnataka,150 A,Balenahalli,397.400 Km.,Challakere to Hiriyur Section,6830
314,Karnataka,4,Bankapur,Km 352.550,Gabbur - Devgiri (Km 404.000 To Km 340.000),5
315,Karnataka,NH66 old NH17,Belekeri,131.2,Km. 93.700 to Km. 283.300,5631
316,Karnataka,73,Brahamarakotlu,Km 331.290,B. C. Road to Padil 1.6 Km Bypass on NH73 from Padil towards Nanthoor,11
317,Karnataka,4,Chalageri,Km 288.200,HadadiDevagiri (km.260.000 to km.340.000),29
318,Karnataka,75,Chowlaggere Toll plaza,Chowlgere Alur,Four laning of Hassan (Existing Km 189.700 Design Ch. 184.912) to Maranahally (Existing Km 237.000 Design Ch. 230.060),6858
319,Karnataka,75,Doddakarenahalli (Neelmangala ),Km 32.600,Neelmangala Junction to Devihalli,58
320,Karnataka,44,Elevated Section/ Electronic City,Km 18.000,Silk Board Junction Electronic City,314
321,Karnataka,4,Gabbur (MoRTH),Km 408.000,Hubli – Dharwad bypass from Km.403.800 to 433.200,316
322,Karnataka,NH 48,Gabbur Toll Plaza,Gabbur,30.40 KM,6741
323,Karnataka,NH 75,Gaddur (Nangli),Km 217.450,Four Laning of Mulbagal APKNT Border section of Nh75 from Km 216.912 to 239.100 in the state of karnataka to be executed as BOT (Toll) on DBFO Pattern under NHDP Phase III,440
324,Karnataka,NH 275,Gananguru Plaza,116.500,6Laning of Nidagatta to Mysuru section NH275 from Km 74.200 to Km 135.304,6693
325,Karnataka,Old NH 4A ( New 748),Ganebail Toll Plaza,Km. 19.200 Ganebail,Km.0.000 to 30.000,6772
326,Karnataka,NH 48,Goa Road Interchange,Goa Road,30.40 KM,6747
327,Karnataka,48,Guilalu,Km 172.770,Tumkur - Chitradurga,267
328,Karnataka,66,Gundmi ( Sasthan ),Km 300.480,Kundapur to Udyavara,479
329,Karnataka,NH67 (old NH63),Halligudi,Km. 220.160,Hubballi Hospet section of NH63 from Design Chai0ge Km.128.850 to Km. 272.571 (Existing Km.129.549 to Km. 267.00) in the state of Kar0taka,5885
330,Karnataka,NH218 (New NH50),Harwal,at Km. 303.400 (Temporarily located at Km.302.500) Harwal Vllage Tq Jewargi Dist Kalaburagi),BijapurGulbargaHom0bad section,4629
331,Karnataka,4,Hattargi,Km 537.770,Hattargi - Hirebagewadi (Km 537.000 to Km 515.000),8
332,Karnataka,66,Hazamady,347.180,Kundapur - Surathkal,480
333,Karnataka,48,Hebbalu,Km 237.650,Doddasiddavanahally - Hadadi (Km 189.000 to Km 260.000),295
334,Karnataka,66,Hejamadi,Km. 347.180,Udyavara to Surathkal,5718
335,Karnataka,4,Hirebagewadi,Km 482.600,Belgaum - Dharwad,6
336,Karnataka,150 A,Hirehalli,Km. 341.300,BYRAPURA To CHALLAKERE,5890
337,Karnataka,13,Hitnal,Km 288.000,Hungund - Hospet (Km 202.000 to 299.000),379
338,Karnataka,NH66 old NH17,Holegadde,182.853,Km. 93.700 to Km. 283.300,5632
339,Karnataka,75,Hoskote,Km 307.700,Bangalore Kolar Mulbagal,186
340,Karnataka,648 (Old NH 207),Hulikunte,12.300 Km.,Dobaspet to Dodaballapur Bypass Section,6812
341,Karnataka,150A,Jajirakallu Toll Plaza,JAJARAKALLU TOLL PLAZA,Four Laning BELLARY BYRAPURA Section,5979
342,Karnataka,212 (New766),K N Hundy,km 200.400,Kerala border Kollegal,5720
343,Karnataka,NH 48,Kalghatagi Road Interchange,Kalghatagi Road,30.40 KM,6746
344,Karnataka,65 (Old 9),Kamkole,Km 464.600,MH KNT Border to Sangareddy,4513
345,Karnataka,NH 275,Kaniminini (LHS),Near Kengeri Kaniminke Toll Plaza Km 23.900,Laning of Bengaluru to Nidagatta section NH275 from Km 18.000 to Km 74.200,6695
346,Karnataka,NH-50(Old NH-13),Kannanakatte,Kananakatte,59.570 ( 60.080 Kms),5992
347,Karnataka,212 (New766),Kannegala,At km 144.130,Kerala border Kollegal,5722
348,Karnataka,NH218 (New NH50),Kannolli,at Km. 241.100 (Temporarily located at Km.240.100) Kannolli Vllage Tq Sindagi Dist Vijayapura),BijapurGulbargaHom0bad section,4628
349,Karnataka,75,Karabylu (Bellur Cross),Km 101.250,Neelamangla Junction - Devihalli,116
350,Karnataka,48,Karjeevanhalli,Km 104.530,Tumkur - Chitradurga including Tumkur Bypass,269
351,Karnataka,NH 48,Karwar Road Interchange,Karwar Road,30.40 KM,6745
352,Karnataka,50,Kasaba (Bijapur),Km 103.888 Vijaypur,Bijapur - Hungund,242
353,Karnataka,4,Kaythsandra/Tumkur/Chokkanahalli,Km 61.500,Nelamangala - Tumkur,271
354,Karnataka,75,Kirisave (Kadabhalli),Km 119.100,Hassan - Devihalli,188
355,Karnataka,4,Kognoli,Km 591.240,Maharashtra Border -Belgaum (Km 592.240 to Km 537.000),9
356,Karnataka,65 (Old 9),Mangalgi,Km 407.500,MH KNT Border to Sangareddy,4512
357,Karnataka,75,Mulbagal,KM 246/750,Mulbagal-Kolar-Bangalore section (Km 237.000 to Km 318.000),387
358,Karnataka,161 A,Mustapur,At Km.24.400 (Mustapur Village Aurad Taluk Bidar District),Aurad Bidar section,6863
359,Karnataka,50,Nagarahlla,Km 165.650,Bijapur Hungund 48.61,315
360,Karnataka,NH67 (Old NH63),Nalawadi,Km.161.200,4 laning of Hubli Hospet Section,5884
361,Karnataka,648,Nalluru Devanahalli,Nalluru (64690),37.6 Km,6751
362,Karnataka,NH 4,Narendra (MoRTH),Near Dharwad,Bangalore Pune Section,321
363,Karnataka,NH 48,Narendra Toll Plaza,Narendra plaza,30.40 KM,6743
364,Karnataka,4,Neelamangala - Tumkur /Kulumepalya,Km 30.000,Neelmangla - Tumkur,313
365,Karnataka,NH-73,Rajatadripura Toll Plaza,Km 12+300 to 83+800 of Tumakuru Shivamogga section of NH-206,4L of TumkurShimoga (PkgI) from Mallasandra Km.12.3 to Km 65.195 (Karadi) of NH206,5975
366,Karnataka,44,Sadahalli,Km 538.000,Devanahalli - Bangalore (Km 534.720 - Km 556.84 of Bangalore - Hyderabad),270
367,Karnataka,13,Shahapur,Km 283.500,Hungund - Hospet (Km 202.000 to 299.000),300
368,Karnataka,75,Shanthigrama,Km 169.350,Hassan - Devihalli,189
369,Karnataka,NH 275,Sheshagirihalli Toll Plaza,Near Kengeri Kaniminke Toll Plaza Km 23.900 26.800,Laning of Bengaluru to Nidagatta section NH275 from Km 18.000 to Km 74.200,6694
370,Karnataka,NH66 old NH17,Shirur,239.64,Km. 93.700 to Km. 283.300,5633
371,Karnataka,66,Surathkal,Km 358.042,Surathkal - Nantoor & Nantoor Bypass (Km 358.000 to 375.300 & 1.6 Km of Nantoor ByPass),459
372,Karnataka,66,Talapady,16.600,Nanthoor to Talapady,481
373,Karnataka,NH 48,Tarihal Road Interchange,Tarihal Road,30.40 KM,6748
374,Karnataka,NH50(Old NH13),Thimmalapura,Thimmalpura,59.924 Km,5891
375,Karnataka,4,Towards Bengaluru,Km 26.075,Banglore - Neelamangla (Km 10.00 to Km 29.50),28
376,Karnataka,4,Towards Neelmangla,Km 14.875,Banglore - Neelamangla (Km 10.00 to Km 29.50),28
377,Karnataka,13,Vanagari,Km 229.061,Hungund - Hospet (Km 202.000 to 299.000),301
378,Karnataka,212 (New766),Yeddore,km 236.550,Kerala border Kollegal,5721
379,Kerala,66,Akkulam (MoRTH),Km 6.400,Aroor - Kerala/Tamil Nadu Border Section (Km 5.750 to Km 6.119 on NH 66 Bypass),371
380,Kerala,544,Chullimada Hamlet (Pampampallam),Km 189.400,Walayar - Vadakkanchery (Km 182.500 to Km 240.00 ),408
381,Kerala,66,Kollam,KOLLAM BYPASS,KM.486.500.TO KM.499.500,5783
382,Kerala,66,Kumbalam,Km 356.500,Edapally Vytilla Aroor Section ( Km 342.00 to Km 358.750),100
383,Kerala,966 B,Kundannur (MoRTH),Km 5.800 & 2.800,Kundannur (Km 2.800 - 5.800),370
384,Kerala,544,Paliyekkara,Km 278.000,Thrissur - Angamali - Edapalli,114
385,Kerala,NH 544,Panniyankara Toll Plaza,Panniyankara Ch. 239.030,Vadakkenchery (Km 236.135) to Thrissur (Km 264.490) of NH544,6667
386,Kerala,966A (Old 47C ),Ponnarimangalam,Km 12.750,Kalamassery - ICTT Vallarpadam,412
387,Kerala,66,Thiruvallam,THIRUVALLAM,KOLLAM TO KANYAKUMARI,5888
388,Kerala,NH 66,Thiruvangad Toll Plaza,Thriuvangad,Thalassery Mahe Bypass Section of NH 66,6766
389,Kerala,66,Varapuzha Bridge (MoRTH),Km 430.800,Varapuzha Bridge,373
390,Madhya Pradesh,7,Ashoka DSC Katni bypass (MoRTH),Km 361.2 To 378.6,Katni bypass (Km 361.200 To 378.600),349
391,Madhya Pradesh,69,Bagwada,At Km. 31.700,Obedullaganj Itarsi,5793
392,Madhya Pradesh,47,Baharagaon,Village Baharagaon Harda Betul road NH47 Tehsil Timarni Dist. Harda Pin 461228,HardaBetul section from Km 0.400 to Km 61.000,6784
393,Madhya Pradesh,7 (New 30 and 34),Bahoripar (Khursi),Km 481.385,Jabalpur to Lakhnadon,5628
394,Madhya Pradesh,26,Bakoli,Km 357.739,Lalitpur Sagar Lakhnadon,266
395,Madhya Pradesh,92,Barahi (MoRTH),Km 105.400,Gwalior to MP/UP Border (Km 0.000 to 107.500),360
396,Madhya Pradesh,92,Baretha (MoRTH),Km 21.120,Gwalior to MP/UP Border (Km 0.000 to 107.500),358
397,Madhya Pradesh,39,Bela,Bela,Satna Rewa,5994
398,Madhya Pradesh,NE 4,Bhuteda (Entry Exit )Toll Plaza,Km 586.420 (Interchange MP04 Fee plaza ) on (Jaora Ujjain Road) Bhuteda village in Ratlam District),DelhiVadodaraMumbai Expressway Greenfield Alignment (NE4) from (Km. 4524.20 to Km 696.920) (Length 244.500 Km) in the state of Madhya Pradesh. Pkg17 to 25,6720
399,Madhya Pradesh,7,Borkhedi (Nagpur ByPass),Km 35.600,MP/Maharashtra Border - Nagpur Section,195
400,Madhya Pradesh,NH3(old) NH52(New),Chhapra (TP I),229.900 km,Biaora to Dewas 141.459 Kms,4597
401,Madhya Pradesh,347BG (NH 753 L),Chhegaon Makhan (Mokalgaon),Near Chhegaon Makhan,Dhangaon Boregaon section,6814
402,Madhya Pradesh,347,Chikhalikala,Km 21.00,Multaichhindwara - Seroni ( Km 0.000 to Km 75.592),401
403,Madhya Pradesh,26,Chitora,Km 226.740,Lalitpur - Lakhnadon,265
404,Madhya Pradesh,3,Choundha,Km 84.000,Morena Gwalior,30
405,Madhya Pradesh,NH 44,Dagrai,At Km. 82.338 VillageDagrai Distt.Datia (M.P.),Gwalior Jhansi,5710
406,Madhya Pradesh,NE 4,Dalavada (Entry Exit ) Toll Plaza,Km 537.320 (Interchange MP03 Fee plaza ) on (Dug Sitamau Road ) Dalavada village in Mandsaur District),DelhiVadodaraMumbai Expressway Greenfield Alignment (NE4) from (Km. 452.420 to Km 696.920) (Length 244.500 Km) in the state of Madhya Pradesh. Pkg17 to 25,6719
407,Madhya Pradesh,7,Daroda,Km 92.500,Borkhedi - Wadner,67
408,Madhya Pradesh,NH 47,Dattigaon,Km 118.650,From KM 9.500 to 171.00,4599
409,Madhya Pradesh,39,Devgaon,Devgaon,From 124.732 to 162.132 57.936 to 74.000,5778
410,Madhya Pradesh,NE 4,Dhamnod (Entry Exit ) Toll Plaza,Km 613.720 (Interchange MP06 Fee plaza) on (Ratlam Sailana Road) Dhamnod village in Ratlam District),DelhiVadodaraMumbai Expressway Greenfield Alignment (NE4) from (Km. 452.420 to Km 696.920) (Length 244.500 Km) in the state of Madhya Pradesh. Pkg17 to 25,6723
411,Madhya Pradesh,347,Fulara,Km 139.000,Chindwara -Ring Road-Seoni ( Km 91.066 to Km 152.351),400
412,Madhya Pradesh,47,Gadha Toll Plaza,Ch. 101800 VillageGadha HardaBetul Road NH47 Th. Betul Dist. Betul.,Harda Betul section from Ch. 61.000 to Ch. 121.248,6840
413,Madhya Pradesh,NE4,Garoth (Entry Exit )Toll Plaza,Km 494.220 (Interchange MP02 Fee plaza ) on (Suwasara Bhanpura Road ) Garoth village in Mandsaur District),DelhiVadodaraMumbai Expressway Greenfield Alignment (NE4) from (Km. 452.420 to Km 696.920) (Length 244.500 Km) in the state of Madhya Pradesh. Pkg.17 to 25,6718
414,Madhya Pradesh,NH 552 Extn.,Goragaon Toll Plaza,DABOH,Engagement of user fee collection agency etender at Goragaon fee plaza at Km.42.700 for use of Mihona to Lahar to Daboh Section from design Km.2.800 to Km.10.955 and design Km.17.355 to Km.36.540 and,6673
415,Madhya Pradesh,3 (Old 75 ),Gwalior Bypass (Mehra),Km 32.607,Gwalior Byepass (Mehra),262
416,Madhya Pradesh,Old NH 12 New NH 45,Harshili,Village Harshili District Raisen (MP),Bareli Bypass Goharganj,5865
417,Madhya Pradesh,Old NH 03(New no. NH 52),IDTL B (Indore Side ),0.55,Six Lanning of IndoreDewas Section of NH3 from km 577.550 to 610.000 and km 0.000 to 12.60 (Approx. length 45.05 km) in the State of Madhya Pradesh under NHDP V Executed as BOT (Toll) Project on DB,6790
418,Madhya Pradesh,Old NH 3 (New no. NH 52),IDTL A (Indore Bypass),591.799,Six Lanning of IndoreDewas Section of NH3 from km 577.550 to 610.000 and km 0.000 to 12.60 (Approx. length 45.05 km) in the State of Madhya Pradesh under NHDP V Executed as BOT (Toll) Project on DB,6789
419,Madhya Pradesh,3,Indore Dewas (Indore Bypass),Km 591.000,Indore - Dewas,35
420,Madhya Pradesh,3,Indore Dewas (Indore side),Km 591.000,Indore - Dewas,245
421,Madhya Pradesh,547,Jaitpur,Km 197.00,Amarwara - Narsinghpur ( Km 140.000 to Km 210.010),403
422,Madhya Pradesh,3,Jajau (Old Baretha),Km 28.600,Agra - Dholpur (Km 8.00 - Km 51),95
423,Madhya Pradesh,NH46(Old NH3),Jogipura,165.197,41.8 KM,4537
424,Madhya Pradesh,146,Joharia shaikh,Sihora,km81 to km175,5711
425,Madhya Pradesh,547,Jungawani,Km 136.00,Chindwara - Amarawara( km 23.590 to Km 57.070 & from Km 97.455 to Km 140.000),402
426,Madhya Pradesh,Old NH12 New NH46,Kachnaria,At Ch.km 419.200 NH12 Village Kachnaria,Bhopal to Biaora,5667
427,Madhya Pradesh,547,Kelwad,Km 13.000,Saoner - Chindwara Upto Chindwara Ring Road ( Km 0.000 to Km 75.460),406
428,Madhya Pradesh,39 (Old 75E),Khadda,6.00,Rewa to Sidhi,4499
429,Madhya Pradesh,3,Khalghat (Indore - Khalghat),Km 75.700,Indore - Khalghat,121
430,Madhya Pradesh,3,"Khalghat -MP/Maharashtra Border(Sendhwa, Jamli)",Km 141.850,Khalghat MP/Maharashtra (Km 84.700 to Km 167.500),25
431,Madhya Pradesh,69,Khambara,Km 71.050,Nagpur - Saoner - Betul ( Km 3.00 to Km 59.300 and Km 137.00 Km 257.400 ),418
432,Madhya Pradesh,NH 44,Khawasa FP,MOHGAON TO KHAWASA MPMH BORDER,Km 624.480 To Km 653.225,5700
433,Madhya Pradesh,New NH 30 (Old NH 7),Kherwasani,At Km 325.400,Maihar to Sleemnabad,4591
434,Madhya Pradesh,Old NH12 (New NH45),Khiriya,At Km. 165.150,Sindorr River Bareli Bypass,5892
435,Madhya Pradesh,7,Koshta (MoRTH),Km 650,Rewa by Pass,352
436,Madhya Pradesh,NH 46 (Old NH 69),Kundi Fee Plaza,Kundi Ch. 100.280,Itarsi to Betul Section,6839
437,Madhya Pradesh,39,Luharali,Km 34.88,Jhansi Khajuraho Section of NH 39 from km 0.00 to 76.603,5880
438,Madhya Pradesh,7,Madai,Km 549.200,Lakh0don Mahagaon (Annuity Project),5719
439,Madhya Pradesh,NH 78 (New NH 43),Majhgawan,16.58,Katni to Umariya,4594
440,Madhya Pradesh,26,Malthone,Km 142.319,Lalitpur - Lakhnadon,88
441,Madhya Pradesh,347B,Mandwara,at 30.150 Km,Km 0.000 to Km 34.560,5784
442,Madhya Pradesh,NH347 C,Mangaon Toll Plaza,Mengaon,Mengaon fee plaza at Km 47.800 of Khalghat to Sarwardewla Road section from Km 0.000 to Km. 81.600 of NH347C in the State of Madhya Pradesh,6770
443,Madhya Pradesh,7,Mansar (Kamptee - Kanhan Bypass)/ Tekadi,Km 690.600,MP/Maharashtra Border - Nagpur Section,194
444,Madhya Pradesh,39,Mauhari,at 147.705 Km,From Km 57.160 to 155.000,5777
445,Madhya Pradesh,NH 47,Methwada,Km 34.45,From KM 9.500 to 171.00,4600
446,Madhya Pradesh,69,Milanpur,Km 14.700,Nagpur - saoner - Betul (Km 3.000 to Km 59.300 and Km 137.000 Km 257.401),417
447,Madhya Pradesh,7 (New 30),Mohtara,VillageMohtara TehsilSihora Distt. Jabalpur,Four laning of RewaKatniJabalpur section of NH7 (PackageIV),4614
448,Madhya Pradesh,NH46 (OLDNH3),Mudkheda,Km. 81.400,Four laning of GwaliorShivpuri section of NH3 from km 15.600 of NH75 (End of Gwalior bypass) to km 236.00 of NH3 in the state of Madhya Pradesh on BOT (Toll) on DBFOT Pattern under NHDP PhaseIV,4570
449,Madhya Pradesh,27,Mundiyar,Km 525.725,Baran-Shivpuri-Jhansi,72
450,Madhya Pradesh,34,Mungwari,At Km. 180.260,Sagar Chhatarpur Road,5882
451,Madhya Pradesh,NE 4,Nayapura (Entry Exit ) Toll Plaza,Km 586.420 (Interchange MP04 Fee plaza ) on (Jaora Ujjain Road) Bhuteda village in Ratlam District),DelhiVadodaraMumbai Expressway Greenfield Alignment (NE4) from (Km. 452.420 to Km 696.920) (Length 244.500 Km) in the state of Madhya Pradesh. Pkg17 to 25,6722
452,Madhya Pradesh,NE 4,Neemthur (Entry Exit )Toll Plaza,Km 464.220 (Interchange MP01 Fee plaza ) on (Bhanpura Jhalawar Road Neemthur village in Mandsaur District),DelhiVadodaraMumbai Expressway Greenfield Alignment (NE.4) from (Km. 452.420 to Km 696.920) (Length 244.500 Km) in the state of Madhya Pradesh. Pkg.17 to 25,6717
453,Madhya Pradesh,NH 752B,Newli,At Km. 51.100,Biaora Maksudangarh Sironj,5893
454,Madhya Pradesh,552 G,Nipaniya Toll Plaza,10.200,UjjainJhalawar,6755
455,Madhya Pradesh,New NH 30 (Old NH 7),Odhaki Paipkhar,At chainage design Km 262.100 (existing km 262.000) of NH7 (New NH30) near village Odhaki Paipkhar near town Amarpatan in Satna district of Madhya Pradesh.,Rewa to Maihar,4615
456,Madhya Pradesh,39,Pachwara,Km 91.302,Jhansi Khajuraho Section of NH 39 from km 76.603 to km 124.732,5769
457,Madhya Pradesh,NH46(Old NH3),Pagara,113.278 KM,93.5KM,4538
458,Madhya Pradesh,552 G,Pagariya (Semalkhedi )Toll Plaza,68.239,Ujjain to Jhalawar,6757
