place_id,name,formatted_address,latitude,longitude
ChIJqTRUrGlbozsRgBps9Z5iFHU,Electric Vehicle Charging Station,"VBM IT SOLUTIONS, Alake Rd, near Jayalakshmi Hotel & Bank Of Baroda, Alake, Kodailbail, Mangaluru",12.8734587,74.8342455
ChIJNyDpamumpDsRQALle_2LPac,Ather Grid Charging Station,"No 129-4A, VNR Gold, Swarna Soudha, Bantwal Main Rd, Bantwal",12.897613,75.04223999999999
ChIJf8qW11NaozsROmUyOcf-JLI,Ather Grid Charging Station,"Anantessh, Commercial Complex, Car Street, Bhavathi, Bunder, Mangaluru",12.870132,74.83543000000002
ChIJAQAAAKykvDsRht0OUtYjxYw,ElectricPe Charging Station,"9Q2P+XP3, NA, Manipal",13.352384,74.7867838
ChIJQ9d8_GiOvDsRjZPoSj6E3Ds,Ather Grid Charging Station,"No I-II-178/F, 178/G, Kanchana Hyundai, Tallur, Kundapura, Udupi, Karnataka, 576230 kundapura",13.6508336,74.7067555
ChIJLwlOWgaOvDsRa0Nk3SWwuuE,Ather Grid Charging Station,"Ground Floor, Ullas Building, Kundapura Main Rd, Kundapura",13.627657,74.690699
ChIJAztHDQCPvDsRK0M_tL4GQYo,Jio-bp pulse Charging Station,"JPM2+35M, NH 66, Kundapura",13.6327308,74.7005611
ChIJ08CtWaekvDsRTxYozWSNldw,Ather Grid Charging Station,"9Q4W+4VW, road, NH169A, Eshwar Nagar, Manipal, J.H.C.Athrady Parkala",13.355355,74.797195
ChIJDSefTmy7vDsR2KOqZ4AFu1c,Ather Grid Charging Station,"Anantha Towers, Court Rd, Kadekoppala, Chitpady, Udupi",13.333888,74.748722
ChIJy8VUyG1WuzsR1dcZPr1LrR4,Ather Grid Charging Station,"No 18/4, Bypass Road, near Bata Showroom, Anekere, Karkala",13.2021235,74.99488629999999
ChIJTX7OYo28vDsRheR0muI4i_8,Ather Grid Charging Station,"Try Auto Gears Pvt Ltd, Opp Bharath Tile Factory, Ambagilu, Udupi, Karnatakla - 576105, Udupi",13.3727415,74.74529
ChIJe7D3O3CyvDsRpV3f7mss96I,Ather Grid Charging Station,"No 7-1BC, Sahakara Sangama, Karkala - Padubidri Rd, Padubidri",13.142459,74.76986
ChIJpwobe-1RozsRX4Q8M75nHCw,Ather Grid Charging Station,"3, 1, D.No. 4-33, NH 66, opposite Govinda Dass College, Surathkal, Mangaluru",12.985259,74.801601
ChIJz8iwNkFWuzsRNhXj6T6SRaA,Ather Grid Charging Station,"4- 164/3, Shalin Towers , Block No.3, Karkala Taluk",13.21549,74.99506699999999
ChIJfwH7ykBbozsRUAZlu2n-a0U,Zeon Charging Station,"7th floor, VRCV+G4 City Centre Mall, KSR Road, Hampankatta, Mangaluru",12.8712414,74.842773
ChIJrbxNIwBRozsRornPzW3zK9E,Electric Vehicle Charging Station,"WV74+J95, Mannagudda, SATHIKALLU, Konchady, Mangaluru",12.9140073,74.85598829999999
ChIJp_x-EgBXuzsRi-lRN4gPuMU,chargeMOD Charging Station,"1/2, Bypass Pulkeri, Pulkeri, Karkala",13.1945389,74.9989655
ChIJz0X1lAlZozsRtfbX_yP9LVc,Ather Charging Station,"TATA Service Center, NH73, Near, Kannur Bustand, Dayambu, Mangaluru",12.86714,74.90453
ChIJ3a2KUYCzvDsRsvw3YgVz_L8,Shrisai E WHEELS,"4QRG+3CC, Karkala - Padubidri Rd, Padubidri",13.1401963,74.7760126
ChIJLTnFS_1muzsR_wV2HPEn5zs,Ather Grid Charging Station,"Just Mallya's, Near Bus Stand, Mallya Residency, Agumbe, Thirthahalli, Agumbe",13.509845,75.09647
ChIJdWhJOACxvDsRasi54xpAeOY,Jio-bp Pulse Charging Station,"Ground Floor, Survey No. 40/2P5, Muli Right, Mangalore Highway, Mallur, Kaup",13.2256151,74.7487158
ChIJPwUhawC9vDsRB3AkLR7CvW4,Renoch Charging Station,"9P23+JQ3, Kodavoor, Malpe",13.3521921,74.7040205
ChIJj8pmvEdaozsRhmtF2e-LkM4,Ather Charging Station,"Indus Commercial Complex, Arya Samaj Rd, Mallikatte, Kadri, Mangaluru",12.8760323,74.851871
ChIJIxYBiF43pTsR9ZJhoynhZPs,Electric Vehicle Charging Station,"X3WH+4Q4, Bangalore - Mangalore Hwy, Thanniruhalla, Channarayapatna, Hassan",12.9952672,76.07945819999999
ChIJUzyah7s6pTsRSejl7k4XuhA,Statiq Charging Station,"XW48+HV8, Left side of Shiv Surya hotel parking area, M",12.9564111,75.917204
ChIJEUIZPQArpTsRXYQgfol3KOY,Electric Vehicle Charging Station,"4P5R+G98, Cheekanahalli",13.108798,75.74095369999999
ChIJ-QTEuNTZujsRIN8fTAydERU,BPCL Charging Station,"8QG6+PH3, Uppalli, Chikkamagaluru",13.326764,75.76142999999999
ChIJjQ83OBlJpTsRB5s1dIQFzNM,Ather Grid Charging Station,"NH75, Bangalore - Mangalore, Trupthi Comforts, Bypass, Boovanahalli",13.0011178,76.142982
ChIJf6dJ3ZbHpDsRNd6qnjHTr5k,Zeon Charging Station,"Hotel Adithya View, Bangalore, Dharmastala Rd, Nidle",12.928859,75.40669419999999
ChIJyWBvU9VJpTsRXEtMONtNO4A,Electric Vehicle Charging Station,"Tippu Nagar, Hassan",12.9958577,76.0886696
ChIJp0b_oUjqujsR-DxBZ-l0cCQ,Ather Grid Charging Station,"NO.541A 36-530-541A/B, MARAVANJI,ROAD, Ambedkar Colony, Kadur",13.551856,76.02035099999999
ChIJ__Y_6sgnpTsRkj6IiqRthVM,Ather Grid Charging Station,"Hotel Samrat Grand, B M, Road, Anemahal",12.9288253,75.7650893
ChIJPSHQPgAnpTsReMNugLNsU8M,Zeon Charging Station,"WQH8+J4M, Bandadka - Bengaluru Rd, Anemahal",12.9288387,75.7651181
ChIJUxwESErbujsRuqV9tvl2lvs,Tata Power Charging Station,8RP9+CF8,13.3364959,75.8178564
ChIJFZMAxC-2pDsRxFaEgBVRvBM,Ather Grid Charging Station,"Arippdy Matt Complex, College Road, Ujire, Belthangady, Mangaluru",12.992488,75.330635
